id,name,url
1,Chris Supercut,https://chris-supercut-barber-shop.business.site/
2,Dulce Coffee London,http://www.dulcecoffeeandkitchen.com/
3,Cupping Clinic E7 - Hijama in London,https://www.hijamainlondon.com/
4,The Corner Café,
5,The Camel,
6,The Wenlock Arms,http://wenlockarms.com/
7,Dany's Barber,http://danysbarber.com/?utm_source=gmb&utm_medium=referral
8,"Adam Grooming Atelier, Mayfair",http://adamgroomingatelier.com/
9,Cafe OTO.,http://www.cafeoto.co.uk/
10,Towpath,http://towpathlondon.com/
11,The Green Cafe.,https://www.facebook.com/greencafeLDN
12,No1 Hair and Beauty,http://www.no1hairandbeauty.com/
13,Plaquemine Lock,http://plaqlock.com/
14,Bob's Café Queen's Park,http://bobscafe.net/
15,Camden Beauty Spa,http://camdenbeautyspa.co.uk/
16,"Pall Mall Barbers King Cross, Barber Shop, Barbers London, Mens Haircut",https://www.pallmallbarbers.com/location/kings-cross/?utm_source=GMBKingsCross&utm_medium=GMBKingsCross&utm_campaign=weblink
17,Ole & Steen,https://oleandsteen.co.uk/?y_source=1_MTY5NTUzNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
18,Rosslyn Coffee | In-Store & Home Coffee Delivery,https://www.rosslyncoffee.com/?utm_source=GMB-listing
19,HAYATO LONDON,https://en.hayatosalons.com/page/london/
20,iSAR HAIR GENTS BARBER LIVERPOOL STREET LONDON Barbershop near me,
21,The Camberwell Arms,http://www.thecamberwellarms.co.uk/
22,Smart design barber Swiss cottage,http://www.smartdesignbarber.com/
23,Goodfellas Barber Shop Ilford,http://hairdressersdirect.co.uk/
24,Avocado and Coffee,http://avocadoandcoffee.com/
25,El Inca Plebeyo Restaurant,http://www.elincaplebeyo.co.uk/
26,Thérapie Clinic - Laser Hair Removal | Botox® | Lip Fillers,http://www.therapieclinic.com/
27,Ambala Green Street,http://www.ambalafoods.com/
28,Hoxton Shoe Repairs,http://hoxtonshoerepairs.co.uk/
29,Poplar Cafe.,
30,Hackney Coffee Company,http://www.hackneycoffee.co/
31,Ozwald Copplepot; Villainously Good Coffee,https://ozwald-copplepot.business.site/
32,Allpress Espresso Bar London,https://uk.allpressespresso.com/find/redchurch-espresso-bar?utm_source=google&utm_medium=organic&utm_campaign=mybusiness
33,Inspire Beauty,http://www.inspirebeautyuk.com/
34,Chesham Arms,http://www.cheshamarms.com/
35,The Wild Card Brewery Barrel Store,http://www.wildcardbrewery.co.uk/
36,Black Sheep Coffee,https://leavetheherdbehind.com/blogs/locations/jubilee
37,Med's Cafe,http://medscafe.co.uk/
38,Kurdish Barbers Traditional,https://www.instagram.com/kurdishbarbers1/
39,Michelle Barbers,https://www.instagram.com/michellebarbers/
40,The Coach & Horses,http://www.thecoachleyton.com/
41,The Prince of Wales,
42,Constancia,http://www.constancia.co.uk/
43,The Haberdashery,http://www.the-haberdashery.com/
44,London Shuffle Club,http://www.londonshuffle.com/
45,Pro-Kut,http://www.pro-kut.co.uk/
46,Hemingford Arms,http://www.hemingfordarms.com/
47,The Grooming Lounge,http://www.thegroominglounge101.com/
48,The Grocery,http://thegroceryshop.co.uk/
49,The Talbot,http://thetalbotn1.com/
50,The Black Dog Beer House,http://www.blackdogbeerhouse.co.uk/
51,The Bar with No Name,http://www.69colebrookerow.com/
52,"Pall Mall Barbers Bishopsgate, Liverpool Street, City of London 💈",https://www.pallmallbarbers.com/location/bishopsgate/?utm_source=GMBBishopsgate&utm_medium=GMBBishopsgate&utm_campaign=weblink
53,The Henry Addington,https://www.nicholsonspubs.co.uk/restaurants/london/thehenryaddingtoncanarywharflondon?utm_source=google&utm_medium=organic&utm_campaign=gmb
54,The Dog & Duck,https://www.dogandduck-e17.co.uk/
55,Splash Charing Cross,http://splashsalons.com/charing-cross/
56,The Alpaca,http://www.thealpaca.co.uk/
57,The Pig & Whistle,http://pigandwhistlesw18.co.uk/
58,Woodies Freehouse,http://www.woodiesfreehouse.co.uk/
59,Boutique Spa Fitzrovia,http://www.boutiquespa.co.uk/
60,Hope & Anchor,https://www.greeneking-pubs.co.uk/pubs/greater-london/hope-anchor/?utm_source=g_places&utm_medium=link&utm_campaign=places&utm_content=
61,Greedies,http://greediesworld.co.uk/
62,Cookies and Scream (vegan and gluten free bake shop),http://www.cookiesandscream.com/
63,Ole & Steen,https://oleandsteen.co.uk/?y_source=1_MTY5NTUzNDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
64,Car Hire For Driving Test | TEST CAR 1 | Last Minute Dual Control Cars,https://www.testcar1.com/
65,Cha Sha,https://chasha.co.uk/
66,Wonder Cafe & Grill,http://www.wondercafe.co.uk/
67,Jack The Clipper,https://jacktheclipper.co.uk/
68,Cart & Horses,http://www.cartandhorses.london/
69,Elly's Cafe,
70,Over Under Earls Court,http://www.overundercoffee.com/
71,The Sea Horse,https://seahorsefleetstreet.co.uk/
72,Newport Street Gallery,http://www.newportstreetgallery.com/
73,Cafe Giardino Bromley Glades,http://www.cafe-giardino.co.uk/
74,Shirley Sherwood Gallery,http://www.kew.org/kew-gardens/attractions/shirley-sherwood-gallery
75,Hare & Hounds,https://www.theharesheen.co.uk/
76,Flotsam & Jetsam,http://www.flotsamandjetsamcafe.co.uk/
77,Le Delice.,https://www.facebook.com/ledeliceladywell/
78,Burberry,https://uk.burberry.com/stores/thomass-cafe/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=GB9180
79,South Ealing Dental Practice,http://www.dentistsouthealing.com/
80,Oki-Doki London Canary Wharf,http://www.oki-dokinails.co.uk/
81,The Elephant and Castle,https://www.nicholsonspubs.co.uk/restaurants/london/theelephantandcastlekensingtonlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb
82,Coffee in the Wood,http://www.coffeeinthewood.co.uk/
83,The Lamb,http://www.thelambn7.co.uk/
84,Bricklayers Arms,
85,Mayfair Tanning & Waxing,http://mayfairaestheticsandbeauty.com/
86,The Carpenters Arms,https://www.thecarpentersarmspub.co.uk/
87,Udderlicious Covent Garden,http://www.udderlicious.co.uk/
88,Photoion Photography Courses London,https://www.photoion.co.uk/
89,49 Cafe,https://www.ritual.co/order/49-cafe-marchmont-st-kings-cross/10d6
90,Juju's Bar and Stage,http://jujusbarandstage.com/
91,Duchess of Kent,http://www.theduchessofkent.co.uk/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=gmb
92,"Alterations Boutique - Wedding Dress Alterations, Dress Alterations, London",https://www.alterationsboutique.co.uk/
93,ShakeShuka,https://www.shakeshukarestaurant.co.uk/menu/
94,The Castle Cinema,https://thecastlecinema.com/
95,The Royal George,https://www.theroyalgeorgewc2.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb
96,The Shortlands Tavern,https://www.shortlandstavern.co.uk/
97,Angel Comedy,http://www.angelcomedy.co.uk/
98,The Victoria,http://www.thevictoriabattersea.co.uk/
99,House of Spells London,http://www.houseofspells.co.uk/
100,The Italians,http://www.theitalians.co.uk/
